X,Y,Z,SIGNAL_STRENGTH
3,232,268,191
3,230,261,191
3,230,256,183
3,228,248,183
3,229,246,191
3,227,239,191
3,227,234,191
3,227,232,183
3,227,227,183
3,226,222,183
3,225,217,191
3,224,212,183
3,226,210,191
3,222,203,191
3,224,201,191
3,225,197,191
3,225,194,191
3,222,188,191
3,224,186,191
3,225,183,191
3,222,177,191
3,223,175,183
3,226,174,191
3,223,169,191
3,223,166,191
3,225,163,183
3,225,161,191
3,225,157,191
3,224,154,191
3,225,151,183
3,226,149,191
3,226,146,183
3,224,143,191
3,223,139,191
3,224,137,191
3,225,134,191
3,223,130,191
3,223,128,191
3,223,126,191
3,224,124,191
3,224,121,191
3,225,119,191
3,225,116,191
3,227,115,191
3,226,112,191
3,226,110,191
3,226,107,191
3,228,105,191
3,227,103,191
3,228,100,191
3,229,98,199
3,229,96,191
3,229,94,191
3,229,91,191
3,232,90,191
3,231,88,191
3,231,85,191
3,228,82,191
3,229,80,199
3,230,78,199
3,229,75,191
3,231,74,199
3,228,71,191
3,228,68,191
3,230,66,191
3,229,64,191
3,231,62,199
3,228,60,199
3,226,57,191
3,227,55,199
3,229,53,191
3,231,52,191
3,230,49,191
3,230,47,191
3,229,45,199
3,229,43,199
3,228,41,191
3,225,38,191
3,229,37,191
3,230,35,191
3,231,33,191
3,232,31,199
3,231,29,191
3,231,27,191
3,230,24,199
3,224,22,191
3,220,20,191
3,220,18,191
3,220,16,191
3,221,13,199
3,218,11,191
3,214,10,191
3,215,8,191
3,213,6,191
2,210,4,191
2,207,2,191
2,206,0,191
2,203,-2,191
2,201,-4,191
2,199,-5,191
2,194,-7,191
2,196,-9,191
2,196,-11,191
2,194,-12,191
2,191,-14,191
2,192,-16,191
2,192,-17,191
2,189,-19,191
2,189,-20,191
2,187,-22,191
2,187,-24,191
2,182,-25,191
2,179,-26,191
2,180,-28,191
2,177,-29,191
2,170,-29,191
2,168,-30,191
2,165,-31,191
2,164,-33,199
2,163,-34,191
2,159,-35,191
2,154,-35,191
2,133,-32,191
2,130,-32,191
1,127,-32,199
1,126,-33,199
1,124,-34,199
1,127,-36,191
2,128,-37,199
1,126,-38,199
1,107,-33,191
1,106,-34,199
1,105,-35,191
1,104,-35,191
1,103,-36,199
1,103,-38,199
1,82,-31,175
1,75,-29,175
1,72,-29,175
1,70,-29,183
1,67,-28,183
1,66,-28,191
1,66,-29,183
1,64,-29,183
1,64,-30,175
1,63,-30,183
1,62,-30,183
1,62,-31,175
1,59,-30,183
1,55,-29,183
1,57,-31,175
1,56,-31,183
1,56,-31,183
1,53,-30,191
1,52,-30,183
1,49,-29,183
1,52,-32,183
1,51,-32,191
1,50,-32,191
1,47,-31,183
1,47,-31,175
1,46,-31,183
1,47,-32,183
1,44,-31,175
1,46,-33,183
1,45,-33,183
0,40,-30,183
0,41,-31,175
1,43,-34,183
0,37,-29,175
0,41,-33,175
0,38,-32,175
0,37,-31,167
0,42,-36,175
0,32,-29,159
0,33,-30,175
0,35,-32,167
0,29,-28,159
0,34,-33,167
0,36,-35,175
-1,-34,-34,175
-1,-37,-36,175
-1,-37,-35,183
-1,-34,-32,175
-1,-38,-34,175
-1,-36,-32,175
-1,-37,-33,183
-1,-36,-31,183
-1,-37,-31,183
-1,-40,-33,191
-1,-40,-33,183
-1,-41,-33,183
-1,-43,-34,191
-1,-42,-32,183
-1,-44,-33,183
-1,-48,-36,183
-1,-47,-34,191
-1,-48,-34,191
-1,-48,-34,191
-1,-49,-34,191
-1,-53,-36,191
-1,-53,-35,183
-1,-52,-34,183
-1,-52,-33,183
-1,-57,-35,191
-1,-54,-33,183
-1,-57,-34,183
-1,-56,-33,183
-1,-60,-34,183
-1,-60,-34,191
-1,-61,-34,175
-1,-61,-32,183
-1,-63,-33,175
-2,-67,-34,183
-2,-74,-37,175
-2,-75,-36,175
-2,-74,-35,183
-2,-76,-34,175
-2,-80,-35,183
-2,-80,-34,183
-2,-83,-35,183
-2,-83,-34,183
-2,-88,-35,183
-2,-91,-35,183
-2,-91,-34,183
-2,-95,-34,183
-2,-95,-34,191
-2,-99,-34,191
-2,-94,-31,183
-2,-105,-34,191
-3,-113,-35,191
-3,-110,-33,191
-3,-118,-35,199
-3,-122,-35,199
-3,-111,-30,191
-3,-144,-38,191
-5,-226,-52,84
-7,-294,-65,175
-6,-241,-51,175
-6,-254,-51,191
-3,-146,-26,112
-3,-144,-24,191
-3,-143,-22,159
-4,-154,-15,183
-3,-143,-12,167
-4,-152,-11,183
-4,-153,-10,191
-4,-157,-9,191
-4,-159,-8,191
-4,-160,-6,191
-4,-149,-5,191
-4,-152,-3,183
-4,-152,-2,183
-4,-160,-1,191
-4,-174,1,191
-4,-173,2,191
-3,-143,3,191
-3,-135,5,183
-3,-135,6,191
-3,-136,10,98
-3,-136,11,183
-3,-132,12,191
-3,-114,15,40
-3,-130,22,84
-3,-131,23,191
-3,-129,24,199
-3,-129,25,199
-23,-963,229,45
-3,-133,33,191
-3,-128,33,191
-20,-831,244,84
-3,-126,42,84
-3,-125,42,199
-17,-706,262,84
-17,-706,290,84
-17,-702,320,70
-17,-705,358,55
-33,-1385,780,55
-36,-1518,1034,50
-36,-1516,1226,60
-29,-1227,1285,25
-13,-543,997,35
-14,-601,1226,40
-14,-575,1311,40
-11,-466,1369,55
-7,-301,1219,35
-5,-192,1215,40
-3,-134,1162,60
-2,-86,1209,40
1,60,1229,55
3,111,1206,35
4,149,1095,30
4,184,1025,60
5,209,935,55
6,256,949,45
7,307,971,60
9,361,993,45
10,422,1006,55
12,504,1071,40
13,564,1078,50
15,636,1099,45
6,237,382,84
6,236,372,175
6,234,360,183
5,232,350,183
5,231,342,191
5,231,336,183
5,232,330,183
5,231,322,183
5,228,312,183
5,229,307,183
5,230,302,191
5,231,298,183
5,232,293,183
5,231,288,191
5,228,278,183
5,232,277,183
5,228,268,183
5,226,260,191
5,226,255,191
5,226,250,191
5,228,248,191
5,223,238,183
5,224,235,191
5,223,232,191
5,225,229,183
5,225,225,183
5,223,219,191
5,225,216,191
5,224,212,191
5,224,208,191
5,223,203,191
5,224,200,191
5,223,196,191
5,223,192,191
5,224,189,191
5,222,185,191
5,222,181,191
5,225,180,191
5,223,175,191
5,224,173,191
5,223,168,191
5,222,165,191
5,223,162,191
5,225,161,183
5,224,157,183
5,226,155,191
5,223,150,183
5,224,148,191
5,223,145,183
5,223,141,191
5,222,138,191
5,225,137,191
5,223,133,191
5,223,130,191
5,223,127,191
5,225,126,191
5,226,124,191
5,226,121,191
5,227,119,191
5,229,117,191
5,228,115,191
5,229,113,191
5,228,110,191
5,228,107,191
5,229,105,191
5,230,103,191
5,231,101,191
5,229,98,191
5,232,96,191
5,230,93,191
5,230,91,199
5,231,89,199
5,229,86,199
5,232,85,199
5,233,83,199
5,230,79,191
5,230,77,199
5,231,75,191
5,231,73,199
5,229,70,199
5,230,68,199
5,230,66,191
5,229,64,191
5,230,62,191
5,227,59,191
5,228,57,199
5,228,56,199
5,227,53,191
5,231,52,191
5,228,49,199
5,228,47,199
5,227,45,191
5,230,43,191
5,227,41,191
5,221,37,191
5,229,37,191
5,230,35,199
5,228,32,191
5,231,31,199
5,231,29,199
5,230,27,191
5,222,23,191
5,221,21,191
5,222,19,191
5,221,17,191
5,217,15,191
5,217,13,191
5,214,11,191
5,213,10,191
5,212,8,191
5,207,6,191
5,207,4,191
5,204,2,191
5,201,0,191
5,201,-2,191
5,199,-4,191
5,196,-6,191
5,196,-7,191
5,192,-9,191
5,193,-11,191
5,193,-12,191
5,192,-14,199
5,192,-16,199
5,193,-18,191
5,191,-19,191
4,189,-20,191
4,189,-22,191
4,186,-23,191
4,183,-25,191
4,184,-26,191
4,179,-27,191
4,174,-28,191
4,172,-29,191
4,170,-30,191
4,168,-31,199
4,165,-32,191
4,163,-33,199
4,159,-34,199
4,156,-35,191
4,150,-35,191
3,134,-32,191
3,128,-32,199
3,128,-33,191
3,127,-34,199
3,126,-35,199
3,126,-36,199
3,128,-38,191
3,121,-37,191
3,110,-34,199
3,106,-35,199
3,107,-36,199
2,104,-36,199
2,104,-37,199
2,104,-38,199
2,88,-33,175
