X,Y,Z,SIGNAL_STRENGTH
5,415,-31,55
5,406,-46,70
4,336,-49,84
4,304,-48,167
3,294,-50,175
3,273,-49,167
3,267,-50,183
3,258,-52,175
3,248,-52,191
1,113,-27,98
1,104,-26,183
1,100,-26,183
1,99,-26,183
1,97,-27,183
1,89,-26,183
1,91,-27,183
1,91,-28,159
1,83,-29,84
1,72,-28,84
1,66,-28,84
1,65,-30,84
1,63,-31,98
1,62,-31,167
1,59,-30,167
1,58,-31,183
1,51,-28,167
1,51,-29,175
1,50,-29,183
1,58,-34,175
1,54,-32,175
1,50,-31,175
1,48,-30,183
1,49,-31,183
1,45,-30,175
1,47,-31,175
1,50,-34,175
1,46,-32,183
1,43,-31,175
0,42,-31,175
0,41,-31,175
1,44,-33,175
0,39,-31,167
0,40,-32,159
0,34,-29,98
0,37,-34,84
0,37,-36,84
-1,-33,-33,175
-1,-34,-34,183
-1,-35,-33,175
-1,-39,-36,183
-1,-35,-33,175
-1,-39,-36,175
-1,-38,-34,183
-1,-42,-37,183
-1,-37,-32,183
-1,-42,-35,183
-1,-44,-36,183
-1,-42,-34,183
-1,-46,-37,191
-1,-47,-37,183
-1,-48,-36,183
-1,-46,-35,183
-1,-48,-35,191
-1,-50,-36,191
-1,-50,-35,183
-1,-53,-36,191
-1,-51,-35,191
-1,-51,-34,191
-1,-53,-34,175
-1,-56,-36,183
-1,-55,-34,183
-1,-58,-36,183
-1,-58,-35,183
-1,-59,-35,183
-1,-61,-35,175
-2,-66,-37,175
-2,-67,-36,167
-1,-61,-32,167
-2,-71,-35,98
-2,-76,-36,159
-2,-74,-35,167
-2,-82,-37,175
-2,-79,-35,167
-2,-85,-37,183
-2,-79,-33,183
-2,-87,-35,191
-2,-91,-36,175
-2,-91,-35,183
-2,-94,-35,191
-2,-100,-36,183
-2,-102,-36,183
-2,-104,-36,191
-3,-110,-37,191
-3,-112,-36,191
-3,-115,-36,199
-3,-121,-37,199
-3,-126,-37,199
-3,-130,-37,191
-3,-139,-38,191
-3,-141,-38,191
-3,-146,-38,191
-4,-157,-39,191
-4,-163,-39,191
-4,-174,-39,191
-4,-188,-41,191
-5,-199,-42,191
-5,-208,-42,191
-5,-203,-39,199
-5,-206,-37,199
-5,-204,-36,199
-5,-204,-34,191
-5,-204,-32,199
-5,-205,-30,199
-5,-205,-29,199
-5,-205,-27,199
-5,-205,-25,199
-5,-206,-23,199
-5,-203,-22,199
-5,-205,-21,199
-5,-203,-19,199
-5,-205,-18,199
-5,-206,-16,199
-5,-205,-14,199
-5,-206,-13,199
-5,-207,-11,199
-5,-206,-10,199
-5,-208,-8,199
-5,-206,-7,199
-5,-207,-5,199
-5,-208,-4,199
-5,-208,-2,199
-5,-207,0,199
-5,-207,1,199
-5,-206,3,199
-5,-208,5,199
-5,-210,7,199
-5,-209,9,199
-5,-208,10,191
-5,-209,12,199
-5,-206,14,199
-5,-208,15,191
-5,-208,18,191
-5,-208,19,199
-5,-207,21,199
-5,-209,23,191
-5,-209,25,191
-5,-207,26,199
-5,-208,28,191
-5,-209,30,199
-5,-209,32,191
-5,-204,32,191
-5,-207,35,191
-5,-208,37,191
-5,-208,39,191
-5,-207,40,191
-5,-209,42,191
-5,-207,44,191
-5,-208,46,191
-5,-210,49,191
-5,-208,50,191
-5,-208,52,191
-5,-209,54,191
-5,-208,56,191
-5,-209,58,191
-5,-207,61,191
-5,-210,64,191
-5,-208,65,191
-5,-207,67,191
-5,-209,70,191
-5,-211,73,191
-5,-208,74,191
-5,-208,76,191
-5,-209,79,191
-5,-212,82,191
-5,-211,84,191
-5,-213,87,191
-5,-210,88,191
-5,-211,91,199
-5,-213,95,199
-5,-213,97,191
-5,-214,100,191
-5,-213,102,191
-5,-210,103,199
-5,-212,106,191
-5,-212,108,191
-5,-210,110,191
-5,-213,113,199
-5,-214,117,191
-5,-211,118,199
-5,-211,120,199
-5,-212,123,191
-5,-213,126,199
-5,-214,129,191
-5,-213,131,191
-5,-211,132,191
